Time,Detected Labels,Status,Snapshot
20:42:22,"cleaver, meat cleaver, chopper (20.5%); drumstick (5.4%); scabbard (5.3%)",SAFE,N/A
20:42:23,"cleaver, meat cleaver, chopper (25.9%); letter opener, paper knife, paperknife (5.1%); drumstick (4.6%)",SAFE,N/A
20:42:23,"cleaver, meat cleaver, chopper (32.9%); scabbard (4.9%); drumstick (4.8%)",SAFE,N/A
20:42:23,"cleaver, meat cleaver, chopper (26.0%); scabbard (5.2%); drumstick (4.4%)",SAFE,N/A
20:42:23,"cleaver, meat cleaver, chopper (17.2%); drumstick (6.5%); scabbard (4.0%)",SAFE,N/A
20:42:24,"cleaver, meat cleaver, chopper (25.8%); drumstick (4.9%); scabbard (3.7%)",SAFE,N/A
20:42:24,"cleaver, meat cleaver, chopper (20.1%); drumstick (5.4%); scabbard (5.3%)",SAFE,N/A
20:42:24,"cleaver, meat cleaver, chopper (25.1%); scabbard (5.9%); letter opener, paper knife, paperknife (5.6%)",SAFE,N/A
20:42:24,"cleaver, meat cleaver, chopper (18.7%); scabbard (5.1%); drumstick (5.0%)",SAFE,N/A
20:42:25,"cleaver, meat cleaver, chopper (18.8%); scabbard (6.2%); drumstick (4.2%)",SAFE,N/A
20:42:25,"cleaver, meat cleaver, chopper (22.5%); scabbard (7.4%); drumstick (4.4%)",SAFE,N/A
20:42:25,"cleaver, meat cleaver, chopper (17.4%); scabbard (5.0%); drumstick (4.6%)",SAFE,N/A
20:42:25,"cleaver, meat cleaver, chopper (15.8%); drumstick (5.4%); scabbard (4.6%)",SAFE,N/A
20:42:26,"cleaver, meat cleaver, chopper (16.4%); scabbard (7.6%); drumstick (5.8%)",SAFE,N/A
20:42:26,"cleaver, meat cleaver, chopper (16.6%); scabbard (6.6%); drumstick (5.4%)",SAFE,N/A
20:42:26,"cleaver, meat cleaver, chopper (21.6%); scabbard (4.5%); drumstick (4.4%)",SAFE,N/A
20:42:26,"cleaver, meat cleaver, chopper (18.3%); drumstick (5.7%); scabbard (4.2%)",SAFE,N/A
20:42:27,"cleaver, meat cleaver, chopper (21.0%); drumstick (4.8%); scabbard (4.5%)",SAFE,N/A
20:42:27,"cleaver, meat cleaver, chopper (25.3%); drumstick (4.8%); scabbard (3.5%)",SAFE,N/A
20:42:27,"cleaver, meat cleaver, chopper (27.0%); scabbard (8.3%); letter opener, paper knife, paperknife (5.1%)",SAFE,N/A
20:42:27,"cleaver, meat cleaver, chopper (17.6%); drumstick (6.1%); scabbard (5.6%)",SAFE,N/A
20:42:28,"cleaver, meat cleaver, chopper (22.3%); scabbard (5.7%); drumstick (5.2%)",SAFE,N/A
20:42:28,"cleaver, meat cleaver, chopper (28.4%); scabbard (5.8%); drumstick (3.9%)",SAFE,N/A
20:42:28,"cleaver, meat cleaver, chopper (19.3%); scabbard (5.5%); drumstick (5.2%)",SAFE,N/A
20:42:28,"cleaver, meat cleaver, chopper (28.3%); scabbard (5.8%); drumstick (4.3%)",SAFE,N/A
20:42:29,"cleaver, meat cleaver, chopper (27.6%); scabbard (5.6%); drumstick (3.8%)",SAFE,N/A
20:42:29,"cleaver, meat cleaver, chopper (40.2%); scabbard (6.8%); hatchet (4.2%)",SAFE,N/A
20:42:29,"cleaver, meat cleaver, chopper (28.9%); scabbard (5.4%); hatchet (3.6%)",SAFE,N/A
20:42:29,"cleaver, meat cleaver, chopper (26.5%); scabbard (3.8%); hatchet (3.5%)",SAFE,N/A
20:42:30,"cleaver, meat cleaver, chopper (27.7%); scabbard (4.0%); hatchet (4.0%)",SAFE,N/A
20:42:30,"cleaver, meat cleaver, chopper (29.6%); scabbard (4.4%); hatchet (3.9%)",SAFE,N/A
20:42:30,"cleaver, meat cleaver, chopper (20.8%); drumstick (4.3%); scabbard (3.7%)",SAFE,N/A
20:42:30,"cleaver, meat cleaver, chopper (23.8%); drumstick (4.9%); scabbard (3.1%)",SAFE,N/A
20:42:31,"cleaver, meat cleaver, chopper (29.5%); drumstick (3.8%); scabbard (3.8%)",SAFE,N/A
20:42:31,"cleaver, meat cleaver, chopper (29.4%); scabbard (4.5%); hatchet (3.9%)",SAFE,N/A
20:42:31,"cleaver, meat cleaver, chopper (32.5%); scabbard (4.7%); hatchet (3.3%)",SAFE,N/A
20:42:31,"cleaver, meat cleaver, chopper (33.6%); scabbard (5.5%); hatchet (3.4%)",SAFE,N/A
20:42:31,"cleaver, meat cleaver, chopper (32.7%); scabbard (5.5%); hatchet (3.5%)",SAFE,N/A
20:42:32,"cleaver, meat cleaver, chopper (37.3%); scabbard (4.6%); hatchet (3.7%)",SAFE,N/A
20:42:32,"cleaver, meat cleaver, chopper (44.2%); scabbard (5.9%); hatchet (3.1%)",SAFE,N/A
20:42:32,"cleaver, meat cleaver, chopper (42.2%); scabbard (6.2%); hatchet (3.3%)",SAFE,N/A
20:42:32,"cleaver, meat cleaver, chopper (40.7%); scabbard (6.8%); hatchet (3.2%)",SAFE,N/A
20:42:33,"cleaver, meat cleaver, chopper (40.3%); scabbard (5.6%); hatchet (3.1%)",SAFE,N/A
20:42:33,"cleaver, meat cleaver, chopper (36.2%); scabbard (5.5%); hatchet (3.8%)",SAFE,N/A
20:42:33,"cleaver, meat cleaver, chopper (38.3%); scabbard (5.2%); hatchet (3.4%)",SAFE,N/A
20:42:33,"cleaver, meat cleaver, chopper (35.9%); scabbard (5.9%); hatchet (3.9%)",SAFE,N/A
20:42:34,"cleaver, meat cleaver, chopper (29.3%); scabbard (5.4%); drumstick (4.0%)",SAFE,N/A
20:42:34,"cleaver, meat cleaver, chopper (36.3%); scabbard (6.0%); hatchet (4.3%)",SAFE,N/A
20:42:34,"cleaver, meat cleaver, chopper (36.6%); scabbard (4.7%); drumstick (3.5%)",SAFE,N/A
20:42:34,"cleaver, meat cleaver, chopper (32.4%); hatchet (4.9%); scabbard (4.5%)",SAFE,N/A
20:42:35,"cleaver, meat cleaver, chopper (44.6%); letter opener, paper knife, paperknife (3.5%); drumstick (3.1%)",SAFE,N/A
20:42:35,"cleaver, meat cleaver, chopper (53.3%); scabbard (3.1%); letter opener, paper knife, paperknife (2.9%)",SAFE,N/A
20:42:35,"cleaver, meat cleaver, chopper (33.4%); scabbard (3.9%); letter opener, paper knife, paperknife (3.3%)",SAFE,N/A
20:42:35,"cleaver, meat cleaver, chopper (25.9%); Injection (11.7%); drumstick (5.2%)",SAFE,N/A
20:42:36,"cleaver, meat cleaver, chopper (37.3%); scabbard (5.8%); letter opener, paper knife, paperknife (5.1%)",SAFE,N/A
20:42:36,"cleaver, meat cleaver, chopper (42.3%); letter opener, paper knife, paperknife (4.7%); scabbard (4.4%)",SAFE,N/A
20:42:36,"cleaver, meat cleaver, chopper (36.8%); hatchet (5.4%); bow (5.3%)",SAFE,N/A
20:42:36,"cleaver, meat cleaver, chopper (59.6%); hatchet (6.4%); hammer (6.2%)",SAFE,N/A
20:42:37,"Injection (42.5%); torch (6.3%); cleaver, meat cleaver, chopper (4.6%)",SAFE,N/A
20:42:37,"Injection (37.5%); hammer (15.1%); cleaver, meat cleaver, chopper (12.3%)",SAFE,N/A
20:42:37,"Injection (46.1%); cleaver, meat cleaver, chopper (9.7%); hammer (9.5%)",SAFE,N/A
20:42:37,"Injection (56.4%); cleaver, meat cleaver, chopper (13.2%); hammer (2.5%)",SAFE,N/A
20:42:38,"Injection (70.6%); cleaver, meat cleaver, chopper (6.8%); hammer (3.9%)",SAFE,N/A
20:42:38,"hammer (28.4%); Injection (19.2%); cleaver, meat cleaver, chopper (13.8%)",SAFE,N/A
20:42:38,"cleaver, meat cleaver, chopper (18.5%); Injection (17.2%); hammer (10.8%)",SAFE,N/A
20:42:38,"assault rifle, assault gun (19.2%); rifle (14.1%); cleaver, meat cleaver, chopper (8.0%)",ALERT,alert_20250414_204238_1.jpg
20:42:39,"assault rifle, assault gun (22.3%); rifle (20.4%); Injection (14.8%)",ALERT,N/A
20:42:39,"rifle (31.8%); assault rifle, assault gun (30.5%); revolver, six-gun, six-shooter (5.9%)",ALERT,N/A
20:42:39,"rifle (18.5%); assault rifle, assault gun (18.5%); Injection (11.6%)",ALERT,N/A
20:42:39,"cleaver, meat cleaver, chopper (21.7%); Injection (18.2%); hammer (13.0%)",SAFE,N/A
